latitude,longitude,tanggal,kelurahan,kecamatan,wilayah
-6.21943,106.938873,20 Januari 2017,Malaka Jaya,Duren Sawit, Kota Administrasi Jakarta Timur
-6.155748,106.709032,21 Januari 2017,Kedaung Kali Angke,Cengkareng, Kota Administrasi Jakarta Barat
-6.201639,106.816049,22 Januari 2017,Karet Tengsin,Tanah Abang, Kota Administrasi Jakarta Pusat
-6.307808,106.781359,22 Januari 2017,Lebak Bulus,Cilandak, Kota Administrasi Jakarta Selatan
-6.150384,106.831188,22 Januari 2017,Kartini,Sawah Besar, Kota Administrasi Jakarta Pusat
-6.269235,106.801791,22 Januari 2017,Cipete Selatan,Cilandak, Kota Administrasi Jakarta Selatan
-6.241201,106.82266,22 Januari 2017,Mampang Prapatan,Mampang Prapatan, Kota Administrasi Jakarta Selatan
-6.29328,106.877442,23 Januari 2017,Dukuh,Kramat Jati, Kota Administrasi Jakarta Timur
-6.161631,106.842673,23 Januari 2017,Gunung Sahari Selatan ,Kemayoran, Kota Administrasi Jakarta Pusat
-6.109837,106.714758,24 Januari 2017,Tegal Alur,Kalideres, Kota Administrasi Jakarta Barat
-6.140002,106.835317,24 Januari 2017,Pademangan Timur,Pademangan, Kota Administrasi Jakarta Utara
-6.146789,106.804501,24 Januari 2017,Jembatan Lima,Tambora, Kota Administrasi Jakarta Barat
-6.20357,106.844651,24 Januari 2017,Menteng,Menteng, Kota Administrasi Jakarta Pusat
-6.110371,106.714184,24 Januari 2017,Tegal Alur,Kalideres, Kota Administrasi Jakarta Barat
-6.32339,106.869438,24 Januari 2017,Ciracas,Ciracas, Kota Administrasi Jakarta Timur
-6.196888,106.87169,24 Januari 2017,Utan Kayu Selatan,Matraman, Kota Administrasi Jakarta Timur
-6.142265,106.737992,25 Januari 2017,Cengkareng Timur,Cengkareng, Kota Administrasi Jakarta Barat
-6.179435,106.860949,25 Januari 2017,Cempaka Putih Barat ,Cempaka Putih, Kota Administrasi Jakarta Pusat
-6.255502,106.854822,26 Januari 2017,Kalibata,Pancoran, Kota Administrasi Jakarta Selatan
-6.340527,106.863717,26 Januari 2017,Pekayon,Pasar Rebo, Kota Administrasi Jakarta Timur
-6.177783,106.859829,26 Januari 2017,Cempaka Putih Barat ,Cempaka Putih, Kota Administrasi Jakarta Pusat
-6.134419,106.699914,26 Januari 2017,Pegadungan,Kalideres, Kota Administrasi Jakarta Barat
-6.171351,106.740852,26 Januari 2017,Kembangan Utara,Kembangan, Kota Administrasi Jakarta Barat
-6.322201,106.903835,26 Januari 2017,Bambu Apus,Cipayung, Kota Administrasi Jakarta Timur
-6.202953,106.904226,26 Januari 2017,Jatinegara Kaum,Pulogadung, Kota Administrasi Jakarta Timur
-6.218943,106.828583,27 Januari 2017,Karet Kuningan,Setiabudi, Kota Administrasi Jakarta Selatan
-6.239853,106.866759,27 Januari 2017,Bidara Cina,Jatinegara, Kota Administrasi Jakarta Timur
-6.109033,106.909723,28 Januari 2017,Cilincing,Cilincing, Kota Administrasi Jakarta Utara
-6.126807,106.890042,29 Januari 2017,Kebon Bawang,Tanjung Priok, Kota Administrasi Jakarta Utara
-6.243316,106.862186,29 Januari 2017,Kebon Baru,Tebet, Kota Administrasi Jakarta Selatan
-6.246811,106.85258,30 Januari 2017,Pangadegan,Pancoran, Kota Administrasi Jakarta Selatan
-6.280932,106.791835,02 Februari 2017,Cilandak Barat,Cilandak, Kota Administrasi Jakarta Selatan
-6.135537,106.749751,03 Februari 2017,Kapuk,Cengkareng, Kota Administrasi Jakarta Barat
-6.153535,106.837262,03 Februari 2017,Gunung Sahari Utara ,Sawah Besar, Kota Administrasi Jakarta Pusat
-6.192492,106.850438,03 Februari 2017,Paseban ,Senen, Kota Administrasi Jakarta Pusat
-6.172287,106.786211,03 Februari 2017,Tanjung Duren Utara,Grogol Petamburan, Kota Administrasi Jakarta Barat
-6.186903,106.730021,04 Februari 2017,Kembangan Utara,Kembangan, Kota Administrasi Jakarta Barat
-6.216881,106.854689,04 Februari 2017,Bukit Duri,Tebet, Kota Administrasi Jakarta Selatan
-6.178792,106.853499,05 Februari 2017,Kampung Rawa ,Johar Baru, Kota Administrasi Jakarta Pusat
-6.204786,106.856545,06 Februari 2017,Kebon Manggis,Matraman, Kota Administrasi Jakarta Timur
-6.324827,106.869246,06 Februari 2017,Ciracas,Ciracas, Kota Administrasi Jakarta Timur
-6.131655,106.808914,06 Februari 2017,Roa Malaka,Tambora, Kota Administrasi Jakarta Barat
-6.202456,106.806702,07 Februari 2017,Bendungan Hilir ,Tanah Abang, Kota Administrasi Jakarta Pusat
-6.128408,106.789173,07 Februari 2017,Penjaringan,Penjaringan, Kota Administrasi Jakarta Utara
-6.164796,106.705199,07 Februari 2017,Semanan,Kalideres, Kota Administrasi Jakarta Barat
-6.18477,106.842664,07 Februari 2017,Kwitang ,Senen, Kota Administrasi Jakarta Pusat
-6.270735,106.837841,08 Februari 2017,Pejaten Barat,Pasar Minggu, Kota Administrasi Jakarta Selatan
-6.257154,106.838777,09 Februari 2017,Duren Tiga,Pancoran, Kota Administrasi Jakarta Selatan
-6.143794,106.820944,09 Februari 2017,Tangki,Tamansari, Kota Administrasi Jakarta Barat
-6.164467,106.826578,11 Februari 2017,Kebon Kelapa ,Gambir, Kota Administrasi Jakarta Pusat
-6.234584,106.816515,11 Februari 2017,Rawa Barat,Kebayoran Baru, Kota Administrasi Jakarta Selatan
-6.144753,106.749975,11 Februari 2017,Kapuk,Cengkareng, Kota Administrasi Jakarta Barat
-6.317368,106.857737,12 Februari 2017,Cijantung,Pasar Rebo, Kota Administrasi Jakarta Timur
